2018-09-16 02:40:44 ERROR GUI:193 - org.json.simple.JSONObject cannot be cast to org.json.simple.JsonObject
2018-09-16 03:04:13 ERROR GUI:191 - Unexpected character (c) at position 1.
2018-09-16 09:35:28 ERROR GUI:190 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 09:35:56 ERROR GUI:190 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 09:38:15 ERROR GUI:189 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 09:54:06 ERROR GUI:187 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 09:56:44 ERROR GUI:188 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 10:00:46 ERROR GUI:188 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 10:16:54 ERROR GUI:188 - org.json.simple.JsonObject cannot be cast to java.base/java.lang.String
2018-09-16 10:26:21 ERROR GUI:187 - org.json.simple.JsonObject cannot be cast to java.base/java.lang.String
2018-09-16 10:26:36 ERROR GUI:187 - org.json.simple.JsonObject cannot be cast to java.base/java.lang.String
2018-09-16 10:36:12 ERROR GUI:188 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
2018-09-16 10:37:12 ERROR GUI:188 - java.base/java.math.BigDecimal cannot be cast to java.base/java.lang.Long
